Entry Step,Exit Step,Predicted Signal,Trade Return,Trade Type
845,865,[0.05612056],-0.0025101406,Timeout exit
866,886,[0.0582208],0.033974167,Timeout exit
887,907,[0.01775134],0.009960379,Timeout exit
908,928,[0.07023528],0.021485928,Timeout exit
929,949,[0.04461508],0.008523189,Timeout exit
950,966,[0.05725678],[0.05725679],Target hit
967,969,[0.00550167],[0.00550165],Target hit
972,992,[0.03455298],0.022485849,Timeout exit
993,1003,[0.05719393],[-0.0285969],Stop loss hit
1004,1014,[0.01752932],[0.01752933],Target hit
1015,1035,[0.07923418],-0.013815728,Timeout exit
1036,1056,[0.02960606],0.030420061,Timeout exit
1057,1077,[0.04394181],0.00273929,Timeout exit
1078,1098,[0.05913927],0.01186201,Timeout exit
1099,1110,[0.0662385],[-0.03311926],Stop loss hit
1111,1113,[0.00882887],[0.0088289],Target hit
1114,1127,[0.03600649],[-0.01800325],Stop loss hit
1128,1148,[0.01925474],0.01994255,Timeout exit
1149,1169,[0.09143267],0.005921743,Timeout exit
1170,1190,[0.06393842],0.020499896,Timeout exit
1191,1211,[0.04266565],-0.0130558,Timeout exit
1212,1232,[0.01813512],0.003497382,Timeout exit
1233,1253,[0.05177111],0.0004943768,Timeout exit
1254,1274,[0.06004003],-0.011925404,Timeout exit
1275,1294,[0.01760571],[0.01760569],Target hit
1295,1308,[0.05125189],[-0.02562595],Stop loss hit
1309,1314,[0.01576954],[0.01576952],Target hit
1315,1335,[0.05775367],-0.017281536,Timeout exit
1336,1356,[0.05632323],0.010337577,Timeout exit
1357,1377,[0.05757136],0.005944188,Timeout exit
1378,1398,[0.04551113],0.007088775,Timeout exit
1399,1419,[0.07060309],0.011480415,Timeout exit
1420,1440,[0.06368919],0.020036697,Timeout exit
1441,1461,[0.0522834],0.01789065,Timeout exit
1462,1482,[0.06172492],0.0082565155,Timeout exit
1483,1503,[0.06076324],0.0039147083,Timeout exit
1504,1524,[0.04809072],0.0038270976,Timeout exit
1525,1545,[0.07933835],-0.003276086,Timeout exit
1546,1566,[0.06067307],-0.0035962523,Timeout exit
1567,1587,[0.05574825],-0.002211398,Timeout exit
1588,1608,[0.07551151],-0.009190722,Timeout exit
1609,1614,[0.01207775],[-0.00603886],Stop loss hit
1615,1635,[0.02579444],0.0105066765,Timeout exit
1636,1656,[0.06161766],0.0073391437,Timeout exit
1657,1676,[0.06899576],[-0.03449789],Stop loss hit
1677,1685,[0.02748883],[-0.01374445],Stop loss hit
1686,1706,[0.02036434],0.005479081,Timeout exit
1707,1727,[0.03951393],-0.01962932,Timeout exit
1728,1748,[0.03318824],0.011824511,Timeout exit
1749,1769,[0.05943571],0.030053465,Timeout exit
1770,1790,[0.03445576],0.0075133457,Timeout exit
1791,1811,[0.05287631],-0.008537567,Timeout exit
1812,1832,[0.05999472],-0.0036878807,Timeout exit
1833,1853,[0.05840133],0.0055210805,Timeout exit
1854,1874,[0.03807663],0.01404697,Timeout exit
1875,1895,[0.05272131],-0.0033852884,Timeout exit
1896,1916,[0.02458021],-0.0024283903,Timeout exit
1917,1937,[0.05022824],2.7471895e-05,Timeout exit
1938,1958,[0.01311126],0.006453368,Timeout exit
1959,1979,[0.04456798],0.0015312573,Timeout exit
1980,2000,[0.05945175],-0.008425037,Timeout exit
2001,2021,[0.02939028],0.007139974,Timeout exit
2022,2042,[0.06457434],-0.015702764,Timeout exit
2043,2063,[0.05607981],-0.0056118867,Timeout exit
2064,2068,[0.0129645],[-0.00648223],Stop loss hit
2069,2071,[0.01310796],[0.01310801],Target hit
2072,2092,[0.06729052],0.005367465,Timeout exit
2093,2113,[0.0638949],0.007995893,Timeout exit
2114,2134,[0.07368883],0.02316778,Timeout exit
2135,2151,[0.04458966],[0.04458961],Target hit
2154,2174,[0.03958538],-0.011303074,Timeout exit
2175,2184,[0.04558381],[-0.02279193],Stop loss hit
2185,2189,[0.01728459],[-0.00864229],Stop loss hit
2190,2191,[0.01682157],[0.0168216],Target hit
2192,2212,[0.02421927],0.018183675,Timeout exit
2213,2233,[0.06487659],0.030693565,Timeout exit
2234,2243,[0.03066528],[-0.01533267],Stop loss hit
2244,2264,[0.02809124],0.0040077823,Timeout exit
2265,2285,[0.06756316],0.003767122,Timeout exit
2286,2306,[0.05457076],-0.0060955966,Timeout exit
2307,2327,[0.02824629],0.0010236412,Timeout exit
2328,2348,[0.0573372],0.0012455179,Timeout exit
2349,2369,[0.05514056],-0.014971148,Timeout exit
2370,2388,[0.03050864],[-0.01525432],Stop loss hit
2389,2409,[0.02332231],0.006754527,Timeout exit
2410,2430,[0.04737736],-0.019255515,Timeout exit
2431,2432,[0.00860406],[0.00860409],Target hit
2433,2434,[0.00898618],[-0.00449309],Stop loss hit
2435,2441,[0.01656897],[0.01656904],Target hit
2442,2462,[0.07292969],0.012790999,Timeout exit
2463,2483,[0.0494036],0.034406908,Timeout exit
2484,2487,[0.02081927],[-0.01040967],Stop loss hit
2488,2508,[0.06167248],0.012466878,Timeout exit
2509,2529,[0.06544781],-0.0011271866,Timeout exit
2530,2550,[0.06757159],-0.0089949975,Timeout exit
2551,2571,[0.04929393],0.00095706835,Timeout exit
2572,2592,[0.06360489],0.0136098275,Timeout exit
2593,2613,[0.0694682],0.002566993,Timeout exit
2614,2634,[0.06548236],-0.00096025364,Timeout exit
2635,2655,[0.07020884],0.0050121406,Timeout exit
2656,2676,[0.08120874],0.0052573914,Timeout exit
2677,2697,[0.04671561],0.0018274313,Timeout exit
2698,2718,[0.05683964],0.020744177,Timeout exit
2719,2739,[0.06355358],0.019865725,Timeout exit
2740,2760,[0.04332238],-0.0019803657,Timeout exit
2761,2781,[0.07338513],0.004041769,Timeout exit
2782,2802,[0.06735534],-0.010854583,Timeout exit
2803,2813,[0.03946155],[-0.01973078],Stop loss hit
2814,2834,[0.01894619],0.0014626436,Timeout exit
2835,2846,[0.03977897],[-0.01988944],Stop loss hit
2847,2848,[0.00922594],[-0.00461301],Stop loss hit
2849,2859,[0.01818974],[-0.00909487],Stop loss hit
2860,2878,[0.02540069],[0.02540064],Target hit
2879,2893,[0.06096159],[-0.03048077],Stop loss hit
2894,2898,[0.01545935],[-0.00772969],Stop loss hit
2899,2919,[0.02159245],-0.0047880635,Timeout exit
2920,2928,[0.0368586],[-0.01842926],Stop loss hit
2929,2932,[0.01445919],[-0.00722953],Stop loss hit
2933,2941,[0.02342742],[0.0234274],Target hit
2942,2962,[0.07605694],0.00425567,Timeout exit
2963,2983,[0.08028018],0.0042103864,Timeout exit
2984,3004,[0.05320242],-0.0064053037,Timeout exit
3005,3025,[0.05412948],-0.0074628606,Timeout exit
3026,3046,[0.05286866],-0.010357212,Timeout exit
3047,3067,[0.03796312],4.0315237e-05,Timeout exit
3068,3088,[0.07391077],0.002671574,Timeout exit
3089,3109,[0.06575502],-0.0070361663,Timeout exit
3110,3130,[0.07516437],-0.010105034,Timeout exit
3131,3151,[0.05433634],0.042943772,Timeout exit
3152,3172,[0.02060308],0.0004855983,Timeout exit
3173,3193,[0.06638377],0.00060455635,Timeout exit
3194,3214,[0.06451218],0.004941684,Timeout exit
3215,3230,[0.05753538],[-0.0287677],Stop loss hit
3231,3251,[0.01492052],-0.0014093348,Timeout exit
3252,3272,[0.04422113],0.0058130617,Timeout exit
3273,3293,[0.06991965],-0.0063136844,Timeout exit
3294,3295,[0.01964282],[-0.00982139],Stop loss hit
3296,3299,[0.00407121],[-0.00203564],Stop loss hit
3300,3320,[0.02947372],0.0018273927,Timeout exit
3321,3341,[0.03675206],0.002772693,Timeout exit
3342,3362,[0.06219275],0.0076832073,Timeout exit
3363,3383,[0.04200597],-0.0021302633,Timeout exit
3384,3404,[0.05666683],-0.015467584,Timeout exit
3405,3425,[0.02891836],-0.0039693993,Timeout exit
3426,3446,[0.0477384],-0.0149685005,Timeout exit
3447,3453,[0.01308774],[0.01308775],Target hit
3454,3474,[0.06608184],-0.014102041,Timeout exit
3475,3494,[0.03475913],[0.03475915],Target hit
3495,3504,[0.03310057],[-0.01655032],Stop loss hit
3505,3525,[0.02906658],-0.0030056909,Timeout exit
3526,3546,[0.05381369],0.0020643948,Timeout exit
3547,3567,[0.07580915],0.005955767,Timeout exit
3568,3588,[0.06419245],0.022874277,Timeout exit
3589,3609,[0.03772856],0.0058108773,Timeout exit
3610,3630,[0.06678534],-0.0056762355,Timeout exit
3631,3651,[0.0404796],0.007812795,Timeout exit
3652,3672,[0.05207873],0.0053183064,Timeout exit
3673,3693,[0.05976122],-0.0015362033,Timeout exit
3694,3714,[0.05443824],0.0048323832,Timeout exit
3715,3735,[0.05882902],-0.0009521547,Timeout exit
3736,3756,[0.05580533],-0.0054716803,Timeout exit
3757,3777,[0.05455164],0.013368237,Timeout exit
3778,3798,[0.04597975],0.004593585,Timeout exit
3799,3819,[0.07398031],0.027570857,Timeout exit
3820,3840,[0.06593344],-0.0050120903,Timeout exit
3841,3852,[0.0589328],[-0.02946638],Stop loss hit
3853,3856,[0.01261181],[-0.00630596],Stop loss hit
3857,3877,[0.03108913],-0.008752749,Timeout exit
3878,3898,[0.04846025],-0.02054264,Timeout exit
3899,3908,[0.01743955],[-0.00871982],Stop loss hit
3909,3910,[0.01000931],[0.01000933],Target hit
3911,3912,[0.0069498],[0.00694977],Target hit
3913,3933,[0.04805826],-0.0079062125,Timeout exit
3934,3941,[0.01411033],[-0.00705516],Stop loss hit
3942,3954,[0.01170922],[-0.00585458],Stop loss hit
3955,3958,[0.01410143],[0.01410135],Target hit
3959,3979,[0.06479911],-0.008025933,Timeout exit
3980,4000,[0.0681209],0.021712217,Timeout exit
4001,4006,[0.01456589],[-0.007283],Stop loss hit
4007,4008,[9.387359e-05],[9.377616e-05],Target hit
4009,4011,[0.01317093],[-0.0065855],Stop loss hit
4012,4013,[0.00062356],[0.00062361],Target hit
4014,4018,[0.02137297],[0.02137302],Target hit
4019,4039,[0.08028867],-0.016557503,Timeout exit
4040,4060,[0.02413809],0.0020492615,Timeout exit
4061,4081,[0.0617534],0.0021184783,Timeout exit
4082,4102,[0.05638412],-0.007333758,Timeout exit
4103,4106,[0.00242244],[0.00242246],Target hit
4107,4127,[0.05443326],0.00342724,Timeout exit
4128,4148,[0.03219094],-0.009585494,Timeout exit
4149,4155,[0.02692043],[-0.01346019],Stop loss hit
4156,4161,[0.02573426],[-0.01286718],Stop loss hit
4162,4179,[0.03146822],[0.03146828],Target hit
4180,4200,[0.09298007],0.0125176,Timeout exit
4201,4221,[0.05642796],0.010606919,Timeout exit
4222,4242,[0.05587829],0.009244554,Timeout exit
4243,4263,[0.05397741],0.0037137459,Timeout exit
4264,4284,[0.06247459],0.029311828,Timeout exit
4285,4305,[0.04232142],-0.011891528,Timeout exit
4306,4317,[0.01398045],[-0.00699022],Stop loss hit
4318,4319,[0.00178025],[0.00178028],Target hit
4320,4321,[0.00637823],[0.00637815],Target hit
4322,4342,[0.05289623],0.023803787,Timeout exit
4343,4363,[0.04888238],0.005683709,Timeout exit
4364,4384,[0.05111136],0.023150882,Timeout exit
4385,4405,[0.06065007],-0.017042693,Timeout exit
4406,4426,[0.02036314],0.009768422,Timeout exit
4427,4447,[0.06642749],0.011151829,Timeout exit
4448,4468,[0.0576978],-0.00018380776,Timeout exit
4469,4488,[0.07034795],[-0.03517395],Stop loss hit
4489,4500,[0.01660332],[0.01660335],Target hit
4501,4506,[0.06210377],[0.06210379],Target hit
4507,4524,[0.04245299],[-0.02122652],Stop loss hit
4525,4529,[0.01773521],[-0.00886761],Stop loss hit
4530,4542,[0.01031554],[-0.00515778],Stop loss hit
4543,4545,[0.01815175],[-0.0090759],Stop loss hit
4546,4552,[0.01711387],[0.01711392],Target hit
4553,4573,[0.0625542],0.0147767775,Timeout exit
4574,4594,[0.03869518],0.016147781,Timeout exit
4595,4615,[0.06082092],-0.010919074,Timeout exit
4616,4636,[0.04699149],-0.0033798038,Timeout exit
4637,4657,[0.06442535],-0.020046609,Timeout exit
4658,4678,[0.04481767],0.026635451,Timeout exit
4679,4690,[0.04038028],[-0.0201901],Stop loss hit
4691,4711,[0.05938294],0.019329043,Timeout exit
4712,4732,[0.04836232],0.016792215,Timeout exit
4733,4753,[0.04596996],-0.01673134,Timeout exit
4754,4774,[0.02564183],0.00027609512,Timeout exit
4775,4795,[0.0752794],0.0024192685,Timeout exit
4796,4816,[0.0672899],-0.0011706214,Timeout exit
4817,4837,[0.05154366],0.0021355909,Timeout exit
4838,4851,[0.06819671],[-0.03409842],Stop loss hit
4852,4862,[0.03203748],[-0.01601871],Stop loss hit
4863,4864,[0.02128265],[-0.01064137],Stop loss hit
4865,4876,[0.01833188],[0.01833189],Target hit
4877,4897,[0.07499645],0.010112336,Timeout exit
4898,4918,[0.05313185],0.01194491,Timeout exit
4919,4939,[0.0503872],-0.0062754476,Timeout exit
4940,4960,[0.05473885],-0.0020030818,Timeout exit
4961,4981,[0.06614391],0.0002830087,Timeout exit
4982,5002,[0.05396269],0.01956396,Timeout exit
5003,5023,[0.0648213],0.0126829725,Timeout exit
5024,5044,[0.07174856],-0.004160125,Timeout exit
5045,5065,[0.04615703],-0.0037759582,Timeout exit
5066,5086,[0.06606176],0.0054620435,Timeout exit
5087,5107,[0.06943777],-0.024876734,Timeout exit
5108,5128,[0.06022778],-0.0018548515,Timeout exit
5129,5149,[0.0676384],-0.015749322,Timeout exit
