Step,Price,Predicted Signal,Step Return,Trade Status
123,66981.73,[0.11713452],-0.001375696,Trade open
124,66981.73,[0.11469395],-0.001375696,Trade open
125,66981.73,[0.1175768],-0.001375696,Trade closed
126,66981.73,[0.11954778],0.0,Trade initiated
127,66981.73,[0.11334455],0.0,Trade open
128,66981.73,[0.11290535],0.0,Trade open
129,66981.73,[0.10909214],0.0,Trade open
130,66981.73,[0.12172861],0.0,Trade open
131,66981.73,[0.11959438],0.0,Trade open
132,66981.73,[0.11727279],0.0,Trade open
133,66981.73,[0.11490723],0.0,Trade open
134,66981.73,[0.11781926],0.0,Trade open
135,66981.73,[0.11356892],0.0,Trade open
136,66981.73,[0.11309733],0.0,Trade open
137,66981.73,[0.10936717],0.0004945379,Trade open
138,67014.85,[0.11834016],0.0004945379,Trade open
139,67014.85,[0.11973924],0.0004945379,Trade open
140,67014.85,[0.1212631],0.0004945379,Trade open
141,67014.85,[0.12265843],0.0004945379,Trade open
142,67014.85,[0.12176065],0.0004945379,Trade open
143,67014.85,[0.12324878],0.0004945379,Trade open
144,67014.85,[0.12431331],0.0004945379,Trade open
145,67014.85,[0.12603107],0.0004945379,Trade open
146,67014.85,[0.11836586],0.0004945379,Trade closed
147,67014.85,[0.12402364],0.0,Trade initiated
148,67014.85,[0.11974064],0.0,Trade open
149,67014.85,[0.12127387],0.0,Trade open
150,67014.85,[0.12266663],0.0,Trade open
151,67014.85,[0.12176272],0.0,Trade open
152,67014.85,[0.12324403],0.0,Trade open
153,67014.85,[0.12431776],0.0,Trade open
154,67014.85,[0.12602454],0.0008966063,Trade open
155,67074.94,[0.1183469],0.0008966063,Trade open
156,67074.94,[0.11974484],0.0008966063,Trade open
157,67074.94,[0.12126909],0.0008966063,Trade open
158,67074.94,[0.12266357],0.0008966063,Trade open
159,67074.94,[0.12176568],0.0008966063,Trade open
160,67074.94,[0.12325258],0.0008966063,Trade open
161,67074.94,[0.12431793],0.0008966063,Trade open
162,67074.94,[0.12603436],0.0008966063,Trade open
163,67074.94,[0.1183726],0.0008966063,Trade open
164,67074.94,[0.11974993],0.0008966063,Trade open
165,67074.94,[0.12128264],0.0008966063,Trade open
166,67074.94,[0.12267404],0.0008966063,Trade open
167,67074.94,[0.12176795],0.0008966063,Trade closed
168,67074.94,[0.12815663],0.0,Trade initiated
169,67074.94,[0.12324654],0.0,Trade open
170,67074.94,[0.12432116],0.0,Trade open
171,67074.94,[0.12602463],-0.00065400265,Trade open
172,67031.07,[0.12495204],-0.00031215086,Trade open
173,67054.0,[0.12647893],0.001715432,Trade open
174,67190.0,[0.12720102],0.0031998958,Trade open
175,67289.57,[0.13756193],0.0024827642,Trade open
176,67241.47,[0.1344606],0.0012681711,Trade open
177,67160.0,[0.1300551],0.001679791,Trade open
178,67187.61,[0.13066645],0.0015934836,Trade open
179,67181.82,[0.12969516],0.0010891503,Trade open
180,67147.99,[0.13011438],0.0016557972,Trade open
181,67186.0,[0.13137373],0.0017153156,Trade open
182,67189.99,[0.12890118],0.0019242703,Trade open
183,67204.01,[0.12884903],0.0020954874,Trade open
184,67215.49,[0.12844548],0.0022521452,Trade open
185,67226.0,[0.13035868],0.0011489015,Trade open
186,67152.0,[0.12842941],0.0011109309,Trade open
187,67149.45,[0.12167897],0.00068987673,Trade open
188,67121.21,[0.11919967],0.00019474488,Trade closed
189,67088.0,[0.12047354],0.0,Trade initiated
190,67088.0,[0.11387232],0.0007452898,Trade open
191,67138.0,[0.11950833],0.0005968141,Trade open
192,67128.04,[0.12731709],0.004198194,Trade open
193,67369.65,[0.13999572],0.004650608,Trade open
194,67400.0,[0.14130428],0.008589464,Trade open
195,67664.25,[0.14452508],0.00787026,Trade open
196,67616.0,[0.14094868],0.008865688,Trade open
197,67682.78,[0.13752383],0.009062607,Trade open
198,67695.99,[0.13496839],0.009420463,Trade open
199,67720.0,[0.13352995],0.0104935635,Trade open
200,67791.99,[0.13184784],0.008973172,Trade open
201,67689.99,[0.1331187],0.011030288,Trade open
202,67828.0,[0.13149118],0.010007262,Trade open
203,67759.37,[0.13252603],0.010012269,Trade open
204,67759.7,[0.13308771],0.00892042,Trade open
205,67686.45,[0.12847951],0.0070355353,Trade open
206,67560.0,[0.12818022],0.010631442,Trade open
207,67801.24,[0.1296816],0.011358216,Trade open
208,67850.0,[0.13431446],0.011924287,Trade open
209,67887.98,[0.136517],0.010046623,Trade closed
210,67762.01,[0.13219148],0.0,Trade initiated
211,67762.01,[0.13184394],0.002832985,Trade open
212,67953.98,[0.13581629],0.0024792654,Trade open
213,67930.01,[0.1397781],0.007945317,Trade open
214,68300.4,[0.14557323],0.0053421115,Trade open
215,68124.0,[0.14006864],0.004630752,Trade open
216,68075.8,[0.135105],0.0038324618,Trade open
217,68021.7,[0.13062039],0.004179379,Trade open
218,68045.21,[0.1312934],0.0014447393,Trade open
219,67859.91,[0.12953098],0.00053104054,Trade open
220,67797.99,[0.12452066],-0.00014930472,Trade open
221,67751.89,[0.12022507],0.0013972385,Trade open
222,67856.69,[0.12340405],0.00061958574,Trade open
223,67803.99,[0.12186877],0.0024812254,Trade open
224,67930.14,[0.13119909],-0.0005078666,Trade open
225,67727.59,[0.12058968],-0.0013293308,Trade open
226,67671.93,[0.11635847],-0.00026148502,Trade open
227,67744.29,[0.1203869],-0.0008412946,Trade open
228,67705.0,[0.11956463],0.002181809,Trade open
229,67909.85,[0.12772459],0.0009871406,Trade open
230,67828.9,[0.12832968],0.002909309,Trade closed
231,67959.15,[0.13082318],0.0,Trade initiated
232,67959.15,[0.12931433],0.009552844,Trade open
233,68608.35,[0.14147577],0.0067154313,Trade open
234,68415.52,[0.13696647],0.0072895354,Trade open
235,68454.54,[0.1375812],0.005427548,Trade open
236,68328.0,[0.13334237],0.0049788645,Trade open
237,68297.51,[0.12971102],0.00904737,Trade open
238,68574.0,[0.13444753],0.011489899,Trade open
239,68739.99,[0.136644],0.009810581,Trade open
240,68625.87,[0.13616653],0.01145863,Trade open
241,68737.87,[0.1322519],0.0116928015,Trade open
242,68753.78,[0.13306889],0.014183958,Trade open
243,68923.08,[0.13508782],0.013962203,Trade open
244,68908.01,[0.13820797],0.014785997,Trade open
245,68963.99,[0.13817728],0.012667077,Trade open
246,68819.99,[0.13702764],0.012530966,Trade open
247,68810.74,[0.13280867],0.012961486,Trade open
248,68840.0,[0.13201979],0.008267949,Trade open
249,68521.03,[0.12699783],0.007873181,Trade open
250,68494.2,[0.12722306],0.0122923115,Trade open
251,68794.52,[0.12950939],0.0110378815,Trade closed
252,68709.27,[0.13157342],0.0,Trade initiated
