Step,Price,Predicted Signal,Step Return,Trade Status
0,129.67,0.2858419418334961,0.0,No trade
1,129.67,0.28143811225891113,0.001773700350895524,Trade open
2,129.9,0.2809489071369171,-0.0019279710249975324,Trade open
3,129.42,0.21689867973327637,-0.004103809958734077,Trade open
4,128.82,0.23859164118766785,0.0,No trade
5,128.82,0.22978009283542633,0.0029497717041522264,Trade open
6,129.2,0.2128162384033203,0.005977246910333633,Trade open
7,129.59,0.2229870855808258,0.011799324303865433,Trade open
8,130.34,0.23355653882026672,0.0019406923092901707,Trade open
9,129.07,0.20122407376766205,0.005356211215257645,Trade open
10,129.51,0.20686592161655426,0.008849551901221275,Trade open
11,129.96,0.210833340883255,0.012708744134333245,Trade open
12,130.54,0.23578408360481262,0.0,No trade
13,130.54,0.23015554249286652,-0.005132512655109167,Trade open
14,129.87,0.2121327966451645,0.002451412146911025,Trade open
15,130.86,0.227579265832901,0.005745365750044584,Trade open
16,131.29,0.2300935834646225,0.005668803118169308,Trade open
17,131.28,0.2255687266588211,0.005898608360439539,Trade open
18,131.31,0.2266945242881775,0.003983486443758011,Trade open
19,131.06,0.2184639871120453,0.008426583372056484,Trade open
20,131.64,0.224920392036438,0.007737167179584503,Trade open
21,131.55,0.22217756509780884,0.00911599863320589,Trade open
22,131.73,0.22359628975391388,0.009039436466991901,Trade open
23,131.72,0.22266122698783875,0.017619144171476364,Trade open
24,132.84,0.24066995084285736,0.017958333386907808,Trade open
25,133.54,0.25046655535697937,0.0,No trade
26,133.54,0.2482834905385971,-0.00786272156983614,Trade open
27,132.49,0.2279059737920761,-0.008445850935197905,Trade open
28,132.35,0.2217492014169693,0.0,No trade
29,132.35,0.21565183997154236,-0.0004534402396529913,Trade open
30,132.29,0.21445347368717194,-0.001511236885562539,Trade open
31,132.15,0.21182307600975037,-0.005364614073187113,Trade open
32,131.64,0.20394545793533325,0.0017377840122208,Trade open
33,132.58,0.21586711704730988,0.0027955807745456696,Trade open
34,132.72,0.21604065597057343,-0.002040077466517687,Trade open
35,132.08,0.21321555972099304,-0.009568798177304008,Trade open
36,130.42,0.23097233474254608,0.0,No trade
37,130.42,0.2187996357679367,0.0021469006314873695,Trade open
38,130.7,0.22080740332603455,0.004447184968739748,Trade open
39,131.0,0.22101815044879913,-0.00621068524196744,Trade open
40,129.61,0.21608036756515503,0.000613416894339025,Trade open
41,130.5,0.2117442637681961,-0.005520635284483433,Trade open
42,129.7,0.20998862385749817,-0.011347919702529907,Trade open
43,128.94,0.21636605262756348,-0.011742284283283248,Trade open
44,128.24,0.24116812646389008,0.0,No trade
45,128.24,0.23242132365703583,-0.0056924778036773205,Trade open
46,127.51,0.24193015694618225,-0.000623844563961029,Trade open
47,128.16,0.23487256467342377,-0.003821003483608365,Trade open
48,127.75,0.22625911235809326,-0.0028073005378246307,Trade open
49,127.88,0.22509044408798218,-0.002261451445519924,Trade open
50,127.95,0.21460476517677307,-0.003976934589445591,Trade open
51,127.73,0.22919157147407532,0.00031186279375106096,Trade open
52,128.28,0.222421333193779,-0.0009358263341709971,Trade open
53,128.12,0.2082930952310562,-0.010861322069486267,Trade open
54,126.82,0.2535407245159149,0.0,No trade
55,126.82,0.2415826916694641,-0.002444390207529068,Trade open
56,126.51,0.25506147742271423,0.0010250532068312168,Trade open
57,126.95,0.2512452304363251,-0.005598478950560093,Trade open
58,126.11,0.24589525163173676,0.001971297897398472,Trade open
59,127.07,0.24149873852729797,-0.009659352413778126,Trade open
60,125.21,0.2674438953399658,0.0,No trade
61,125.21,0.25561514496803284,0.008545640856027603,Trade open
62,126.28,0.2514941990375519,0.007986582815647125,Trade open
63,126.21,0.24687369167804718,0.011580581776797771,Trade open
64,126.66,0.21904288232326508,0.014295990578830242,Trade open
65,127.0,0.20238667726516724,0.011101344600319862,Trade open
66,126.6,0.20244698226451874,0.009823523461818695,Trade open
67,126.44,0.20427972078323364,0.004791937302798033,Trade open
68,125.81,0.2248096466064453,0.005750349257141352,Trade open
69,125.93,0.23442772030830383,-0.0012778214877471328,Trade open
70,125.05,0.25059348344802856,0.0015174702275544405,Trade open
71,125.4,0.24794240295886993,0.003993291407823563,Trade open
72,125.71,0.21130195260047913,0.007108053658157587,Trade open
73,126.1,0.20135824382305145,-0.0018368798773735762,Trade open
74,124.98,0.21812397241592407,-0.0034342329017817974,Trade open
75,124.78,0.2315496951341629,-0.006309407763183117,Trade open
76,124.42,0.2497532218694687,-0.000638941244687885,Trade open
77,125.13,0.21034453809261322,-0.0003194706223439425,Trade open
78,125.17,0.2062530219554901,-0.006868465803563595,Trade open
79,124.35,0.22284886240959167,0.002875174628570676,Trade open
80,125.57,0.20013834536075592,0.005430878605693579,Trade open
81,125.89,0.2015857994556427,-0.00015970483946148306,Trade open
82,125.19,0.19862863421440125,0.008465757593512535,Trade open
83,126.27,0.21119944751262665,0.008785228244960308,Trade open
84,126.31,0.21194304525852203,0.00023958772362675518,Trade open
85,125.24,0.19912587106227875,-0.002795291831716895,Trade open
86,124.86,0.20409415662288666,-0.00447246665135026,Trade open
87,124.65,0.20641787350177765,0.01118122786283493,Trade open
88,126.61,0.21350838243961334,0.018688591172971433,Trade open
89,127.83,0.2221253663301468,0.0,No trade
90,127.83,0.22261406481266022,0.010326152667403221,Trade open
91,129.15,0.2297798991203308,0.004380798898637295,Trade open
92,128.39,0.21970146894454956,0.003442090470343828,Trade open
93,128.27,0.21149809658527374,0.007744703907519579,Trade open
94,128.82,0.22096024453639984,0.019479038193821907,Trade open
95,130.32,0.22682638466358185,-0.014505867905835976,Trade open
96,125.15,0.20718559622764587,0.0,No trade
97,125.15,0.20075242221355438,0.026208478957414627,Trade open
98,128.43,0.2068760097026825,0.02764681540429592,Trade open
99,128.61,0.2073078453540802,0.03276067599654198,Trade open
100,129.25,0.22218045592308044,0.03906166510634425,Trade open
101,132.45,0.22553303837776184,0.0,No trade
102,132.45,0.2252776175737381,0.006568594835698605,Trade open
103,133.32,0.22862614691257477,-0.006040038075298071,Trade open
104,131.65,0.21920359134674072,0.003397485474124551,Trade open
105,132.9,0.22418728470802307,0.003926042001694441,Trade open
106,132.97,0.2242174744606018,-0.003019961528480053,Trade open
107,132.05,0.2218174934387207,-0.002491520019248128,Trade open
108,132.12,0.22258998453617096,-0.006794970948249102,Trade open
